Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.01928768046282,-2.06551182934165,3.70288562827751,5.30741934775764,5.04810577067288
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,66081.7199235165,61466.803676358,79601.4129622433,88428.7024226232,84734.2559206054
Singapore,SGP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.191993897241005,-3.56949598146913,14.3619661171204,0.458682804705319,-3.71813638952344
Singapore,SGP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,61333.6563161696,59144.3539186758,67638.6459886659,67948.8928271514,65422.4603166668
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,376901649222.451,349488382610.662,434111559282.849,498474540987.78,501427500080.059
Singapore,SGP,GDP (constant 2015 US$),NY.GDP.MKTP.KD,349820740821.559,336283381521.284,368871820049.825,383029403742.294,387147091448.002
Singapore,SGP,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-0.20441464095768,-2.43859056928547,10.2637667092318,13.4781380113655,-3.06902994364776
Singapore,SGP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.565260568780326,-0.181916666666634,2.30485959040484,6.12106004039418,4.82146729476466
Singapore,SGP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.1,4.1,4.64,3.591,3.472
Singapore,SGP,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,7.7,10.6,10.049,8.434,..
Singapore,SGP,External balance on goods and services (current US$),NE.RSB.GNFS.CD,111298104764.991,109807993088.563,157305079409.267,192075678898.53,187333096508.925
Singapore,SGP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.34505874082728,-3.86979893430043,9.69076687082064,3.83807678519807,1.07503175095101
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 06/28/2024,,,,,,,,
